Timestamp,Generation_kW,Grid_Feed-In_kW,Grid_Supply_kW,Overall_Consumption_Calc_kW
2019-01-01 00:00:00,0.000,0.000,4.212,4.212
2019-01-01 00:15:00,0.000,0.000,4.212,4.212
2019-01-01 00:30:00,0.000,0.000,4.212,4.212
2019-01-01 00:45:00,0.000,0.000,4.220,4.220
2019-01-01 01:00:00,0.000,0.000,4.212,4.212
2019-01-01 01:15:00,0.000,0.000,4.212,4.212
2019-01-01 01:30:00,0.000,0.000,4.212,4.212
2019-01-01 01:45:00,0.000,0.000,4.212,4.212
2019-01-01 02:00:00,0.000,0.000,4.220,4.220
2019-01-01 02:15:00,0.000,0.000,4.212,4.212
2019-01-01 02:30:00,0.000,0.000,4.812,4.812
2019-01-01 02:45:00,0.000,0.000,4.212,4.212
2019-01-01 03:00:00,0.000,0.000,4.212,4.212
2019-01-01 03:15:00,0.000,0.000,4.220,4.220
2019-01-01 03:30:00,0.000,0.000,4.212,4.212
2019-01-01 03:45:00,0.000,0.000,4.212,4.212
2019-01-01 04:00:00,0.000,0.000,4.212,4.212
2019-01-01 04:15:00,0.000,0.000,4.212,4.212
2019-01-01 04:30:00,0.000,0.000,4.220,4.220
2019-01-01 04:45:00,0.000,0.000,4.812,4.812
2019-01-01 05:00:00,0.000,0.000,4.212,4.212
2019-01-01 05:15:00,0.000,0.000,4.212,4.212
2019-01-01 05:30:00,0.000,0.000,4.212,4.212
2019-01-01 05:45:00,0.000,0.000,4.220,4.220
2019-01-01 06:00:00,0.000,0.000,4.212,4.212
2019-01-01 06:15:00,0.000,0.000,4.212,4.212
2019-01-01 06:30:00,0.000,0.000,4.212,4.212
2019-01-01 06:45:00,0.000,0.000,4.812,4.812
2019-01-01 07:00:00,0.000,0.000,4.220,4.220
2019-01-01 07:15:00,0.000,0.000,4.212,4.212
2019-01-01 07:30:00,0.000,0.000,4.212,4.212
2019-01-01 07:45:00,0.000,0.000,4.220,4.220
2019-01-01 08:00:00,0.000,0.000,4.232,4.232
2019-01-01 08:15:00,0.000,0.000,4.832,4.832
2019-01-01 08:30:00,0.032,0.000,4.800,4.832
2019-01-01 08:45:00,0.272,0.000,4.528,4.800
2019-01-01 09:00:00,0.640,0.000,4.160,4.800
2019-01-01 09:15:00,1.032,0.000,3.768,4.800
2019-01-01 09:30:00,1.812,0.000,2.988,4.800
2019-01-01 09:45:00,2.040,0.000,2.160,4.200
2019-01-01 10:00:00,3.032,0.000,1.768,4.800
2019-01-01 10:15:00,3.412,0.000,0.788,4.200
2019-01-01 10:30:00,2.232,0.000,1.968,4.200
2019-01-01 10:45:00,3.440,0.000,1.360,4.800
2019-01-01 11:00:00,3.420,0.000,0.780,4.200
2019-01-01 11:15:00,4.192,0.000,0.608,4.800
2019-01-01 11:30:00,3.972,0.000,0.228,4.200
2019-01-01 11:45:00,2.740,0.000,2.060,4.800
2019-01-01 12:00:00,2.672,0.000,1.528,4.200
2019-01-01 12:15:00,5.712,0.912,0.000,4.800
2019-01-01 12:30:00,2.520,0.000,1.680,4.200
2019-01-01 12:45:00,2.652,0.000,1.548,4.200
2019-01-01 13:00:00,2.172,0.000,2.628,4.800
2019-01-01 13:15:00,2.620,0.000,1.580,4.200
2019-01-01 13:30:00,3.800,0.000,1.000,4.800
2019-01-01 13:45:00,3.820,0.000,0.380,4.200
2019-01-01 14:00:00,4.020,0.000,0.780,4.800
2019-01-01 14:15:00,2.100,0.000,2.100,4.200
2019-01-01 14:30:00,3.660,0.000,1.140,4.800
2019-01-01 14:45:00,1.372,0.000,2.828,4.200
2019-01-01 15:00:00,0.840,0.000,3.960,4.800
2019-01-01 15:15:00,0.612,0.000,3.588,4.200
2019-01-01 15:30:00,0.380,0.000,3.820,4.200
2019-01-01 15:45:00,0.040,0.000,4.772,4.812
2019-01-01 16:00:00,0.000,0.000,4.832,4.832
2019-01-01 16:15:00,0.000,0.000,4.840,4.840
2019-01-01 16:30:00,0.000,0.000,4.832,4.832
2019-01-01 16:45:00,0.000,0.000,4.832,4.832
2019-01-01 17:00:00,0.000,0.000,4.832,4.832
2019-01-01 17:15:00,0.000,0.000,5.440,5.440
2019-01-01 17:30:00,0.000,0.000,4.820,4.820
2019-01-01 17:45:00,0.000,0.000,4.820,4.820
2019-01-01 18:00:00,0.000,0.000,4.812,4.812
2019-01-01 18:15:00,0.000,0.000,4.812,4.812
2019-01-01 18:30:00,0.000,0.000,4.812,4.812
2019-01-01 18:45:00,0.000,0.000,5.412,5.412
2019-01-01 19:00:00,0.000,0.000,4.820,4.820
2019-01-01 19:15:00,0.000,0.000,4.812,4.812
2019-01-01 19:30:00,0.000,0.000,4.812,4.812
2019-01-01 19:45:00,0.000,0.000,4.820,4.820
2019-01-01 20:00:00,0.000,0.000,4.812,4.812
2019-01-01 20:15:00,0.000,0.000,4.812,4.812
2019-01-01 20:30:00,0.000,0.000,4.812,4.812
2019-01-01 20:45:00,0.000,0.000,4.820,4.820
2019-01-01 21:00:00,0.000,0.000,4.812,4.812
2019-01-01 21:15:00,0.000,0.000,4.812,4.812
2019-01-01 21:30:00,0.000,0.000,4.812,4.812
2019-01-01 21:45:00,0.000,0.000,4.820,4.820
2019-01-01 22:00:00,0.000,0.000,4.812,4.812
2019-01-01 22:15:00,0.000,0.000,4.812,4.812
2019-01-01 22:30:00,0.000,0.000,4.212,4.212
2019-01-01 22:45:00,0.000,0.000,4.212,4.212
2019-01-01 23:00:00,0.000,0.000,4.220,4.220
2019-01-01 23:15:00,0.000,0.000,4.212,4.212
2019-01-01 23:30:00,0.000,0.000,4.212,4.212
2019-01-01 23:45:00,0.000,0.000,4.212,4.212
2019-01-02 00:00:00,0.000,0.000,4.220,4.220
2019-01-02 00:15:00,0.000,0.000,4.212,4.212
2019-01-02 00:30:00,0.000,0.000,4.212,4.212
2019-01-02 00:45:00,0.000,0.000,4.212,4.212
2019-01-02 01:00:00,0.000,0.000,4.212,4.212
2019-01-02 01:15:00,0.000,0.000,4.820,4.820
2019-01-02 01:30:00,0.000,0.000,4.212,4.212
2019-01-02 01:45:00,0.000,0.000,4.212,4.212
2019-01-02 02:00:00,0.000,0.000,4.212,4.212
2019-01-02 02:15:00,0.000,0.000,4.220,4.220
2019-01-02 02:30:00,0.000,0.000,4.212,4.212
2019-01-02 02:45:00,0.000,0.000,4.212,4.212
2019-01-02 03:00:00,0.000,0.000,4.212,4.212
2019-01-02 03:15:00,0.000,0.000,4.220,4.220
2019-01-02 03:30:00,0.000,0.000,4.212,4.212
2019-01-02 03:45:00,0.000,0.000,4.212,4.212
2019-01-02 04:00:00,0.000,0.000,4.212,4.212
2019-01-02 04:15:00,0.000,0.000,4.212,4.212
2019-01-02 04:30:00,0.000,0.000,4.220,4.220
2019-01-02 04:45:00,0.000,0.000,4.212,4.212
2019-01-02 05:00:00,0.000,0.000,4.212,4.212
2019-01-02 05:15:00,0.000,0.000,4.812,4.812
2019-01-02 05:30:00,0.000,0.000,4.212,4.212
2019-01-02 05:45:00,0.000,0.000,4.220,4.220
2019-01-02 06:00:00,0.000,0.000,4.212,4.212
2019-01-02 06:15:00,0.000,0.000,4.212,4.212
2019-01-02 06:30:00,0.000,0.000,4.212,4.212
2019-01-02 06:45:00,0.000,0.000,4.220,4.220
2019-01-02 07:00:00,0.000,0.000,4.212,4.212
2019-01-02 07:15:00,0.000,0.000,4.212,4.212
2019-01-02 07:30:00,0.000,0.000,4.212,4.212
2019-01-02 07:45:00,0.000,0.000,4.220,4.220
2019-01-02 08:00:00,0.000,0.000,4.232,4.232
2019-01-02 08:15:00,0.000,0.000,4.832,4.832
