Timestamp,Generation_kW,Grid_Feed-In_kW,Grid_Supply_kW,Overall_Consumption_Calc_kW
2019-01-01 00:00:00,0.000,0.000,5.400,5.400
2019-01-01 00:15:00,0.000,0.000,6.000,6.000
2019-01-01 00:30:00,0.000,0.000,5.700,5.700
2019-01-01 00:45:00,0.000,0.000,6.000,6.000
2019-01-01 01:00:00,0.000,0.000,5.700,5.700
2019-01-01 01:15:00,0.000,0.000,5.700,5.700
2019-01-01 01:30:00,0.000,0.000,5.400,5.400
2019-01-01 01:45:00,0.000,0.000,5.400,5.400
2019-01-01 02:00:00,0.000,0.000,5.700,5.700
2019-01-01 02:15:00,0.000,0.000,6.000,6.000
2019-01-01 02:30:00,0.000,0.000,5.400,5.400
2019-01-01 02:45:00,0.000,0.000,5.400,5.400
2019-01-01 03:00:00,0.000,0.000,5.700,5.700
2019-01-01 03:15:00,0.000,0.000,5.400,5.400
2019-01-01 03:30:00,0.000,0.000,5.700,5.700
2019-01-01 03:45:00,0.000,0.000,5.400,5.400
2019-01-01 04:00:00,0.000,0.000,5.400,5.400
2019-01-01 04:15:00,0.000,0.000,5.700,5.700
2019-01-01 04:30:00,0.000,0.000,5.700,5.700
2019-01-01 04:45:00,0.000,0.000,5.700,5.700
2019-01-01 05:00:00,0.000,0.000,6.000,6.000
2019-01-01 05:15:00,0.000,0.000,5.700,5.700
2019-01-01 05:30:00,0.000,0.000,5.400,5.400
2019-01-01 05:45:00,0.000,0.000,5.700,5.700
2019-01-01 06:00:00,0.000,0.000,5.700,5.700
2019-01-01 06:15:00,0.000,0.000,9.900,9.900
2019-01-01 06:30:00,0.000,0.000,7.800,7.800
2019-01-01 06:45:00,0.000,0.000,7.800,7.800
2019-01-01 07:00:00,0.000,0.000,7.800,7.800
2019-01-01 07:15:00,0.000,0.000,7.800,7.800
2019-01-01 07:30:00,0.000,0.000,7.800,7.800
2019-01-01 07:45:00,0.000,0.000,8.400,8.400
2019-01-01 08:00:00,0.000,0.000,7.800,7.800
2019-01-01 08:15:00,0.000,0.000,7.500,7.500
2019-01-01 08:30:00,0.000,0.000,7.200,7.200
2019-01-01 08:45:00,0.300,0.000,7.200,7.500
2019-01-01 09:00:00,0.900,0.000,6.600,7.500
2019-01-01 09:15:00,2.700,0.000,4.800,7.500
2019-01-01 09:30:00,6.300,0.000,2.400,8.700
2019-01-01 09:45:00,9.000,1.500,0.000,7.500
2019-01-01 10:00:00,8.400,1.200,0.000,7.200
2019-01-01 10:15:00,3.600,0.000,3.900,7.500
2019-01-01 10:30:00,10.500,2.700,0.000,7.800
2019-01-01 10:45:00,14.400,6.600,0.000,7.800
2019-01-01 11:00:00,15.000,6.300,0.000,8.700
2019-01-01 11:15:00,14.700,6.900,0.000,7.800
2019-01-01 11:30:00,24.000,16.800,0.000,7.200
2019-01-01 11:45:00,38.100,30.600,0.000,7.500
2019-01-01 12:00:00,46.500,39.300,0.000,7.200
2019-01-01 12:15:00,16.800,9.300,0.000,7.500
2019-01-01 12:30:00,11.400,3.000,0.000,8.400
2019-01-01 12:45:00,17.100,9.600,0.000,7.500
2019-01-01 13:00:00,10.800,3.300,0.000,7.500
2019-01-01 13:15:00,18.600,11.100,0.000,7.500
2019-01-01 13:30:00,13.200,6.000,0.000,7.200
2019-01-01 13:45:00,4.200,0.000,3.300,7.500
2019-01-01 14:00:00,2.700,0.000,5.700,8.400
2019-01-01 14:15:00,3.000,0.000,4.500,7.500
2019-01-01 14:30:00,2.100,0.000,5.400,7.500
2019-01-01 14:45:00,1.200,0.000,6.300,7.500
2019-01-01 15:00:00,1.500,0.000,6.000,7.500
2019-01-01 15:15:00,0.000,0.000,7.500,7.500
2019-01-01 15:30:00,0.300,0.000,7.500,7.800
2019-01-01 15:45:00,0.000,0.000,7.800,7.800
